Case ID,Activity,Complete Timestamp,Variant,Variant index
dataRequester48,Confirm update,2019/08/10 21:02:04.000,Variant 1,1
dataRequester48,Update license compliance,2019/08/10 21:04:28.000,Variant 1,1
dataRequester57,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester57,Submit Purpose,2019/08/10 20:54:51.000,Variant 1,1
dataRequester57,Get Link,2019/08/10 20:55:22.000,Variant 1,1
dataRequester57,Update license compliance,2019/08/10 20:58:15.000,Variant 1,1
dataRequester57,Update license compliance,2019/08/10 20:59:55.000,Variant 1,1
dataRequester57,Confirm update,2019/08/10 21:02:19.000,Variant 1,1
dataRequester57,Update license compliance,2019/08/10 21:04:28.000,Variant 1,1
dataRequester2,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester2,Submit Purpose,2019/08/10 20:54:51.000,Variant 1,1
dataRequester2,Get Link,2019/08/10 20:55:22.000,Variant 1,1
dataRequester2,Update license compliance,2019/08/10 20:58:29.000,Variant 1,1
dataRequester2,Update license compliance,2019/08/10 21:00:10.000,Variant 1,1
dataRequester2,Confirm update,2019/08/10 21:02:33.000,Variant 1,1
dataRequester2,Update license compliance,2019/08/10 21:04:13.000,Variant 1,1
dataRequester71,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester71,Submit Purpose,2019/08/10 20:55:07.000,Variant 1,1
dataRequester71,Get Link,2019/08/10 20:55:37.000,Variant 1,1
dataRequester71,Update license compliance,2019/08/10 20:58:44.000,Variant 1,1
dataRequester71,Update license compliance,2019/08/10 20:59:55.000,Variant 1,1
dataRequester71,Confirm update,2019/08/10 21:02:19.000,Variant 1,1
dataRequester71,Update license compliance,2019/08/10 21:04:28.000,Variant 1,1
dataRequester76,Agree to License,2019/08/10 20:54:35.000,Variant 4,4
dataRequester76,Submit Purpose,2019/08/10 20:55:07.000,Variant 4,4
dataRequester76,Get Link,2019/08/10 20:55:37.000,Variant 4,4
dataRequester76,Update license compliance,2019/08/10 20:58:15.000,Variant 4,4
dataRequester76,Update license compliance,2019/08/10 21:00:25.000,Variant 4,4
dataRequester17,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester17,Submit Purpose,2019/08/10 20:54:51.000,Variant 1,1
dataRequester17,Get Link,2019/08/10 20:55:07.000,Variant 1,1
dataRequester17,Update license compliance,2019/08/10 20:58:44.000,Variant 1,1
dataRequester17,Update license compliance,2019/08/10 21:00:25.000,Variant 1,1
dataRequester17,Confirm update,2019/08/10 21:02:33.000,Variant 1,1
dataRequester17,Update license compliance,2019/08/10 21:04:43.000,Variant 1,1
dataRequester66,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester66,Submit Purpose,2019/08/10 20:55:07.000,Variant 1,1
dataRequester66,Get Link,2019/08/10 20:55:22.000,Variant 1,1
dataRequester66,Update license compliance,2019/08/10 20:58:15.000,Variant 1,1
dataRequester66,Update license compliance,2019/08/10 21:00:25.000,Variant 1,1
dataRequester66,Confirm update,2019/08/10 21:02:33.000,Variant 1,1
dataRequester66,Update license compliance,2019/08/10 21:04:28.000,Variant 1,1
dataRequester77,Agree to License,2019/08/10 20:54:35.000,Variant 4,4
dataRequester77,Submit Purpose,2019/08/10 20:54:51.000,Variant 4,4
dataRequester77,Get Link,2019/08/10 20:55:22.000,Variant 4,4
dataRequester77,Update license compliance,2019/08/10 20:58:44.000,Variant 4,4
dataRequester77,Update license compliance,2019/08/10 21:00:10.000,Variant 4,4
dataRequester69,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester69,Submit Purpose,2019/08/10 20:55:07.000,Variant 1,1
dataRequester69,Get Link,2019/08/10 20:55:37.000,Variant 1,1
dataRequester69,Update license compliance,2019/08/10 20:58:44.000,Variant 1,1
dataRequester69,Update license compliance,2019/08/10 21:00:25.000,Variant 1,1
dataRequester69,Confirm update,2019/08/10 21:02:33.000,Variant 1,1
dataRequester69,Update license compliance,2019/08/10 21:04:13.000,Variant 1,1
dataRequester87,Agree to License,2019/08/10 20:54:35.000,Variant 2,2
dataRequester87,Submit Purpose,2019/08/10 20:55:07.000,Variant 2,2
dataRequester87,Get Link,2019/08/10 20:55:22.000,Variant 2,2
dataRequester87,Update license compliance,2019/08/10 20:58:15.000,Variant 2,2
dataRequester75,Agree to License,2019/08/10 20:54:35.000,Variant 4,4
dataRequester75,Submit Purpose,2019/08/10 20:54:51.000,Variant 4,4
dataRequester75,Get Link,2019/08/10 20:55:22.000,Variant 4,4
dataRequester75,Update license compliance,2019/08/10 20:58:44.000,Variant 4,4
dataRequester75,Update license compliance,2019/08/10 21:00:25.000,Variant 4,4
dataRequester14,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester14,Submit Purpose,2019/08/10 20:55:07.000,Variant 1,1
dataRequester14,Get Link,2019/08/10 20:55:22.000,Variant 1,1
dataRequester14,Update license compliance,2019/08/10 20:58:44.000,Variant 1,1
dataRequester14,Update license compliance,2019/08/10 20:59:55.000,Variant 1,1
dataRequester14,Confirm update,2019/08/10 21:02:19.000,Variant 1,1
dataRequester14,Update license compliance,2019/08/10 21:04:43.000,Variant 1,1
dataRequester25,Agree to License,2019/08/10 20:54:35.000,Variant 1,1
dataRequester25,Submit Purpose,2019/08/10 20:54:51.000,Variant 1,1
dataRequester25,Get Link,2019/08/10 20:55:07.000,Variant 1,1
dataRequester25,Update license compliance,2019/08/10 20:58:15.000,Variant 1,1
dataRequester25,Update license compliance,2019/08/10 21:00:25.000,Variant 1,1
dataRequester25,Confirm update,2019/08/10 21:02:19.000,Variant 1,1
dataRequester25,Update license compliance,2019/08/10 21:04:13.000,Variant 1,1
dataRequester94,Agree to License,2019/08/10 20:54:35.000,Variant 5,5
dataRequester94,Submit Purpose,2019/08/10 20:55:07.000,Variant 5,5
